T_ANALF15M,T_ATRASO_2_BASICO,T_FUND18M,AGUA_ESGOTO,T_DENS,T_LIXO,GINI,PPOB,T_FUNDIN18MINF,P_FORMAL,T_DES18M,RAZDEP,IDHM
6.16,16.04,38.15,2.7,42.21,97.36,0.45,45.4,41.6,66.56,17.97,46.72,0.621
7.88,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,51.77,0.606
8.69,19.44,43.95,0.39,42.46,98.58,0.48,38.57,40.05,62.24,18.8,53.43,0.649
5.88,19.36,41.92,1.3,40.75,93.44,0.45,40.93,39.76,62.86,15.05,48.49,0.642
8.41,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,50.7,0.582
8.38,19.44,43.95,0.39,42.46,98.58,0.48,38.57,40.05,62.24,18.8,51.57,0.649
10.32,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,51.25,0.531
11.84,19.36,41.92,1.3,40.75,93.44,0.45,40.93,39.76,62.86,15.05,56.13,0.642
11.4,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,54.11,0.546
9.36,20.37,32.62,0.99,43.18,99.22,0.41,51.77,48.01,62.87,23.46,55.58,0.586
12.4,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,55.71,0.546
12.72,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,61.21,0.531
11.54,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,56.77,0.531
9.9,28.62,31.79,0.0,47.38,98.65,0.45,52.11,48.67,62.27,20.72,49.48,0.577
11.1,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,50.34,0.587
9.06,20.78,32.51,1.52,45.98,98.18,0.45,49.0,48.5,62.83,15.76,50.73,0.581
9.21,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,51.36,0.582
8.68,20.37,32.62,0.99,43.18,99.22,0.41,51.77,48.01,62.87,23.46,51.87,0.586
8.13,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,46.36,0.582
6.51,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,44.34,0.582
3.31,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,50.0,0.582
8.49,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,46.39,0.587
6.86,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,43.72,0.582
7.3,19.44,43.95,0.39,42.46,98.58,0.48,38.57,40.05,62.24,18.8,49.31,0.649
6.33,15.03,40.95,0.0,35.14,99.89,0.43,37.41,43.38,60.56,18.01,44.9,0.648
5.59,17.02,41.84,0.56,36.77,99.44,0.45,35.51,40.51,59.83,18.93,45.05,0.636
4.29,18.44,50.12,0.16,30.34,99.22,0.46,32.32,36.35,68.58,17.91,43.96,0.684
